"","","","","","","Case","Case","Case","","Control","Control","Control","",""
"","dxage","89644 (0%)","61.1785730221766","12.8292460477761","","14942 (0%)","61.1803640744211","12.8259756020819","","74702 (0%)","61.1782147733662","12.8299859078658","","0.985082235638092"
"<40 yo","agegrp","","3417","0.0381174423274285","","","565","0.0378128764556284","","","2852","0.0381783620251131","","0.99957510944436"
"40-49","agegrp","","13913","0.15520280219535","","","2317","0.155066256190604","","","11596","0.155230114320902","","0.99957510944436"
"50-59","agegrp","","23533","0.262516175092588","","","3931","0.263083924508098","","","19602","0.262402613049182","","0.99957510944436"
"60-69","agegrp","","25278","0.281982062380081","","","4224","0.282693079908981","","","21054","0.281839843645418","","0.99957510944436"
"70-79","agegrp","","15654","0.174624068537772","","","2601","0.174073082585999","","","13053","0.174734277529383","","0.99957510944436"
"80+ yo","agegrp","","7849","0.0875574494667797","","","1304","0.0872707803506893","","","6545","0.0876147894300019","","0.99957510944436"
"WHITE","raceethn1","","58193","0.649156664138146","","","9700","0.649176817025833","","","48493","0.649152633128966","","0.999999999999425"
"BLACK","raceethn1","","6708","0.0748293248851011","","","1118","0.0748226475706063","","","5590","0.0748306604910176","","0.999999999999425"
"ASIAN","raceethn1","","12929","0.144226049707733","","","2155","0.144224334091822","","","10774","0.144226392867661","","0.999999999999425"
"HISPANIC","raceethn1","","10710","0.119472580429253","","","1785","0.119461919421764","","","8925","0.119474712859093","","0.999999999999425"
"PI","raceethn1","","390","0.00435054214448262","","","65","0.00435015392852363","","","325","0.0043506197959894","","0.999999999999425"
"AI-AN","raceethn1","","714","0.00796483869528357","","","119","0.00796412796145094","","","595","0.0079649808572729","","0.999999999999425"
"2005-2007","index_yr","","24984","0.278702422917317","","","4165","0.278744478650783","","","20819","0.278694010869856","","0.999921033772971"
"2008-2010","index_yr","","36203","0.403853018606934","","","6034","0.403828135457101","","","30169","0.403857995769859","","0.999921033772971"
"2011-2013","index_yr","","28457","0.317444558475749","","","4743","0.317427385892116","","","23714","0.317447993360285","","0.999921033772971"
"","enr_len","89644 (0%)","203.192562060298","67.7650247503933","","14942 (0%)","199.365486547986","62.6955830999746","","74702 (0%)","203.958059132732","68.7089803093353","","9.3962694515668e-16"
"","cops2","89644 (0%)","14.1922828075499","15.1965179181273","","14942 (0%)","14.0488555748896","15.2718627835862","","74702 (0%)","14.2209713260689","15.1813424530529","","0.208105975168536"
"","bmi","74144 (17%)","28.2284376555317","6.55402301139361","","13507 (10%)","28.4829169942452","6.53619404894851","","60637 (19%)","28.1717519285333","6.55669665817808","","5.76158978949541e-07"
"Underweight","bmicat","","1103","0.0123042256034983","","","183","0.0122473564449204","","","920","0.0123156006532623","","3.59494209758098e-166"
"Normal","bmicat","","24789","0.276527151845076","","","4281","0.286507830277071","","","20508","0.274530802388156","","3.59494209758098e-166"
"Overweight","bmicat","","23645","0.263765561554594","","","4298","0.287645562842993","","","19347","0.258989049824637","","3.59494209758098e-166"
"Obese I","bmicat","","13773","0.153641069117844","","","2646","0.177084727613439","","","11127","0.148951835292228","","3.59494209758098e-166"
"Obese II+","bmicat","","10834","0.120855829726474","","","2099","0.140476509168786","","","8735","0.116931273593746","","3.59494209758098e-166"
"Unknown","bmicat","","15500","0.172906162152514","","","1435","0.0960380136527908","","","14065","0.188281438247972","","3.59494209758098e-166"
"Never smoker","smok1","","35729","0.398689966077486","","","7013","0.469536689876808","","","28716","0.384520621317622","","5.36045199193129e-198"
"Current smoker","smok1","","4954","0.05528030708802","","","980","0.0656132833422603","","","3974","0.0532137118371719","","5.36045199193129e-198"
"Quited/past/former","smok1","","13620","0.151981788966256","","","2706","0.181173004820568","","","10914","0.146143545795394","","5.36045199193129e-198"
"Unknown","smok1","","35313","0.394047937868238","","","4237","0.283677021960364","","","31076","0.416122121049813","","5.36045199193129e-198"
"0","menop","","21760","0.242737941189594","","","3717","0.248761879266497","","","18043","0.241533024550882","","0.0613484058787788"
"1","menop","","67884","0.757262058810406","","","11225","0.751238120733503","","","56659","0.758466975449118","","0.0613484058787788"
"0","gravid","","8038","0.120289724940888","","","1575","0.130770508136832","","","6463","0.117985322574756","","2.98400051390762e-05"
"1","gravid","","8210","0.12286372751489","","","1554","0.129026901361674","","","6656","0.121508634853408","","2.98400051390762e-05"
"2","gravid","","18128","0.271287899194876","","","3218","0.267186981069412","","","14910","0.272189565153894","","2.98400051390762e-05"
"3+","gravid","","32446","0.485558648349346","","","5697","0.473015609432082","","","26749","0.488316477417941","","2.98400051390762e-05"
"0","parity","","9745","0.151010351453542","","","2044","0.166625906904704","","","7701","0.147345259734048","","1.71173420265052e-07"
"1","parity","","10594","0.164166615012707","","","2061","0.168011738811445","","","8533","0.163264134698173","","1.71173420265052e-07"
"2","parity","","23124","0.358333849872931","","","4284","0.349229640498899","","","18840","0.36047067827418","","1.71173420265052e-07"
"3+","parity","","21069","0.326489183660819","","","3878","0.316132713784952","","","17191","0.3289199272936","","1.71173420265052e-07"
"Yes","inpatient_flg","","1174","0.0130962473785195","","","204","0.0136527907910588","","","970","0.0129849267757222","","9.20380700779056e-07"
"No","inpatient_flg","","16485","0.1838940698764","","","2972","0.198902422701111","","","13513","0.180892077856015","","9.20380700779056e-07"
"Unknown","inpatient_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","9.20380700779056e-07"
"Yes","outpatient_flg","","16846","0.187921110169113","","","3012","0.201579440503279","","","13834","0.185189151562207","","2.5091694452341e-07"
"No","outpatient_flg","","813","0.00906920708580608","","","164","0.0109757729888904","","","649","0.0086878530695296","","2.5091694452341e-07"
"Unknown","outpatient_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","2.5091694452341e-07"
"Yes","pharmacy_flg","","14405","0.160691178439159","","","2574","0.172266095569536","","","11831","0.158375947096463","","7.43554613728849e-07"
"No","pharmacy_flg","","3254","0.0362991388157601","","","602","0.0402891179226342","","","2652","0.0355010575352735","","7.43554613728849e-07"
"Unknown","pharmacy_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","7.43554613728849e-07"
"Yes","a1c_flg","","15275","0.170396233992236","","","2722","0.182171061437559","","","12553","0.168041016304784","","3.58167331945704e-07"
"No","a1c_flg","","2384","0.0265940832626835","","","454","0.0303841520546112","","","1930","0.0258359883269524","","3.58167331945704e-07"
"Unknown","a1c_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","3.58167331945704e-07"
"Yes","fgrg_flg","","11961","0.133427781000402","","","2223","0.148775264355508","","","9738","0.130357955610292","","8.88952759410645e-09"
"No","fgrg_flg","","5698","0.0635625362545179","","","953","0.0637799491366618","","","4745","0.0635190490214452","","8.88952759410645e-09"
"Unknown","fgrg_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","8.88952759410645e-09"
"Yes","a1cfgrg_flg","","14735","0.164372406407568","","","2668","0.178557087404631","","","12067","0.161535166394474","","6.78920351076737e-07"
"No","a1cfgrg_flg","","2924","0.0326179108473517","","","508","0.0339981260875385","","","2416","0.0323418382372627","","6.78920351076737e-07"
"Unknown","a1cfgrg_flg","","71985","0.803009682745081","","","11766","0.78744478650783","","","60219","0.806122995368263","","6.78920351076737e-07"
"Yes","dyslipidemia.x","","49351","0.550522065057338","","","8249","0.552067996252175","","","41102","0.550212845706942","","0.683905256245281"
"No/Unknown","dyslipidemia.x","","40293","0.449477934942662","","","6693","0.447932003747825","","","33600","0.449787154293058","","0.683905256245281"
"","systolic","67734 (24%)","126.281370754335","15.9562664187319","","12357 (17%)","128.205748919815","16.7392053580078","","55377 (26%)","125.851958886757","15.7443477962473","","4.94268282536765e-46"
"","diastolic","67732 (24%)","72.8420323390529","9.94687608517771","","12357 (17%)","73.4555569466149","10.2728433247215","","55375 (26%)","72.7051235611632","9.86755785586961","","1.47954446531514e-13"
"","glu_f","40457 (55%)","105.083022303516","29.8101154174415","","7195 (52%)","105.848992355803","30.2712661187442","","33262 (55%)","104.917333092819","29.7072834792162","","0.017570628425366"
"","hdl","48118 (46%)","57.1311013203652","15.1356675423645","","8552 (43%)","56.8772022139071","15.0713446557279","","39566 (47%)","57.1859803872011","15.1491652676538","","0.0861004901406813"
"","hgba1c","18801 (79%)","6.57354706309948","1.30575177909204","","3349 (78%)","6.55458345774858","1.27183464505958","","15452 (79%)","6.57765715333506","1.312991530795","","0.344054517461199"
"","ldl_clc_ns","44778 (50%)","110.808458766954","33.8176868118807","","7951 (47%)","111.259862491091","33.8274235478561","","36827 (51%)","110.711000081462","33.8152527086751","","0.189494881582369"
"","tot_choles","48642 (46%)","195.224649822513","39.5216901364713","","8650 (42%)","195.710308285164","39.6256193255821","","39992 (46%)","195.119605171034","39.4988859554897","","0.208469250089889"
"","trigl_ns","45296 (49%)","137.920029730366","88.1154115876181","","8038 (46%)","138.98065439164","87.9682778613206","","37258 (50%)","137.691211730814","88.1466272092503","","0.233503551048792"
"","hhincome1","89644 (0%)","0.337792191701644","0.181886627975281","","14942 (0%)","0.334446853213691","0.180124163407238","","74702 (0%)","0.338461331051153","0.182230938908659","","0.0130691147731376"
"","hhincome2","89644 (0%)","0.30731906888654","0.11212763972489","","14942 (0%)","0.305871177774737","0.110938404455825","","74702 (0%)","0.307608678120463","0.112362498795254","","0.0811921543887546"
"","hhincome3","89644 (0%)","0.353092746372684","0.19833764899077","","14942 (0%)","0.358477311000596","0.19865857969574","","74702 (0%)","0.352015718118149","0.198257174344966","","0.00028333437464433"
"","medhousincome","89480 (0%)","79679.7343093429","34042.1210810079","","14923 (0%)","80412.8911076861","34069.6086751243","","74557 (0%)","79532.9888809904","34034.9483792013","","0.00397588389715878"
"","houspoverty","89483 (0%)","0.0840268156780196","0.0836783266837579","","14924 (0%)","0.0824346925587342","0.082510481817791","","74559 (0%)","0.0843455008190786","0.083907052989298","","0.010027125829948"
"","edu1","89644 (0%)","0.327389657784391","0.178590115503791","","14942 (0%)","0.320389211518055","0.17635989139014","","74702 (0%)","0.328789896976268","0.17900118793184","","1.15703803074704e-07"
"","edu2","89644 (0%)","0.307159572984248","0.10318823142777","","14942 (0%)","0.307129138853057","0.103446701872246","","74702 (0%)","0.307165660462337","0.103137146777224","","0.968560035370258"
"","edu3","89485 (0%)","0.229336496728346","0.114014850832321","","14924 (0%)","0.232764329140818","0.114149755144173","","74561 (0%)","0.228650387758191","0.113976213700208","","5.84201984731781e-05"
"","edu4","89644 (0%)","0.13474736008255","0.114539592810703","","14942 (0%)","0.138793063890863","0.115840907331849","","74702 (0%)","0.13393813266824","0.114261115174518","","2.78690051124768e-06"
